Animation -> 13,Thriller -> 5,War -> 0,Horror -> 24,Documentary -> 16,Biography -> 3,Comedy -> 19,Western -> 2,Fantasy -> 21,Romance -> 25,Family -> 1,Drama -> 20,Short -> 15,Sport -> 14,History -> 22,Film-Noir -> 7,Reality-TV -> 4,Music -> 8,Mystery -> 9,Musical -> 23,Sci-Fi -> 11,Game-Show -> 18,Adventure -> 10,Crime -> 17,Action -> 12,News -> 6
aaron hill,9,5,20
matthew mcgrory,24
chris geere,20,24,21,25
jill hennessy,12,19,20,10,25
reece ritchie,12,20,3,21,10,25
jennifer grey,0,12,20
bai ling,12,9,19,5,2,20,21,10,25,22,14,11
joe flaherty,19,13,24,21,10,11
harmony korine,5,20
howard morris,19,21,25
tom kane,12,9,1,19,13,5,20,21,10,11
gary coleman,19,16,3,21,8
isabelle nélisse,24,21
jeffrey demunn,12,9,5,20,17,24,21,25,11
isabelle adjani,0,12,9,19,5,20,10,25,8
zach woods,12,19,20,21,25,11
paresh rawal,19,20
luke grimes,12,5,20,17,24,3,25
camryn manheim,19,5,20,24
vauxhall jermaine,20,25
christopher berry,12,19,20,11
natascha mcelhone,12,19,5,20,17,24,10,11
danny sapani,9,5,17
britney spears,19,20
dequina moore,19,20,21,25
brian whitaker,16
robert lopez,1,19,13,10,23
dexter fletcher,12,19,20,17,24,3,10,22,11,8,23
adam lamberg,1,19,10,25,8
alan hale jr.,2
matthew cowles,19
brian stepanek,19,20,25
tony goldwyn,0,12,9,5,20,17,24,21,25,22,11,8
blake lindsley,19,20
riz ahmed,12,19,5,20,17
clare kramer,19,14
nicholas lea,12,5,20,17,10
zoe ventoura,12,19,17
glynis johns,1,19,21,23
margarita levieva,5,20,17
ronnie lazaro,0,20
rosalind harris,1,20,25,23
jacki weaver,19,25
zinedine soualem,19,20,25
alden ehrenreich,9,19,5,20,24,21,25
david denman,9,5,24
molly c. quinn,19,17,24
dan futterman,0,19,5,20,17,3,25,22
matt schulze,12,5,17
lena endre,12,9,5,17
brendan fehr,0,5,20,24,22
michael potts,12,9,5,17,25
eme ikwuakor,12,20,21,11
chris parnell,19
gladys cooper,19,10,25,23
carlos gallardo,12,5,20,17,25
clyde kusatsu,20,17,10,25
yolande moreau,19,13,10
madison mckinley,1,19,13,21,10
tom arnold,12,9,1,19,13,5,20,17,24,21,10,25
nicholas gonzalez,12,19,5,20,17,24,10
melissa mcmeekin,19,20,3,14
youssef hajdi,1,19,13,10
eleanor bron,20,25
kevin alejandro,12,19,2,10,22
anthony reynolds,5,20,10,11,8
donny alamsyah,12,5,17
samuel davis,24
willow smith,1,20,24,11
lotte verbeek,12,21,10
wes studi,0,12,19,20,17,24,3,21,10,25,22,14,11
leo fitzpatrick,20
vincent regan,0,12,19,5,20,21,10,11
randy quaid,12,19,5,2,17,20,24,10,25,14,11
gigi rice,12,19,17
tom hardy,12,19,5,2,17,20,3,10,25,22,14,11
aleksandr bashirov,1,19,13,10
kurt fuller,12,19,5,20,17,3,21,25,14,8
frederick weller,5,20
alexandra silber,24,21
sid haig,19,5,20,17,24,21
michael horse,12,2,10
deon richmond,19
drew carey,1,19,13,10,11
olwenya maina,20
benjamin fletcher,16
rick hoffman,12,9,5,20,17,24
gauhar khan,19,20
laura-leigh,19,17
jackie cooper,12,19,10,25,11
barney frank,16,17
claudia cardinale,2
juliet stevenson,1,19,20,25
aida turturro,12,19,5,20,17
justine waddell,9,5,20,24
ron eldard,19,20,24,14
rosanna arquette,0,12,19,5,20,17,25,11,8
ted wass,21,10
carel struycken,19,21
joey fatone,1,19,25
nick cannon,12,19,5,20,17,25,22,8
shigeo kobayashi,0,20,25,22
péter fancsikai,0,20,25
john cothran,20,17
elise neal,20,17,8
michael nouri,19,20,25,8
stanley b. herman,9,5,20,17
kira mclean,24
robin shou,12,9,5,20,17,21,10,11
tony kgoroge,20,3,22
anna friel,0,19,20,3,21,10,25,22,11
igor jijikine,9,5,21,10
khandi alexander,5,20,17,25
lisa gaye,12,19,24,11
laurie metcalf,19,14
vincent chimato,19,24
alison lohman,12,9,1,5,20,17,24,21,10,11
ohad knoller,19,20,25
anthony zerbe,12,5,20,24,10,22,11
jeff marlow,12,5,20,17
richard masur,9,24,11
marina sirtis,20,10
benno fürmann,12,9,5,24
nicol williamson,20,10,25
melinda dillon,20,25,11
sam underwood,9,5,20,17
anita mui,12,19
billy blair,12,5,2,20,21
caroline dhavernas,0,9,19,5,20,17,24,25,22
margaret cho,9,24
hugh dillon,12,5,20,17
paz de la huerta,20,21,25
vinessa shaw,9,1,19,5,20,17,24,21,25
peter breck,1,10,25
ben youcef,12,5,25
nick damici,9,5,20,24,11
mary catherine garrison,20,8
anatoliy solonitsyn,9,20,11
jason wiles,9,5,20,17,24
anna madeley,19,20,17
ronald pickup,19,20
bingbing fan,12,5,20,17,22
ed begley jr.,1,16,17,24,3,10,25,11,12,19,13,5,20,21
steve whitmire,1,19,20,21,10,23
john sessions,19,20,3,25,8
jake lloyd,1,19,20,14
lynn whitfield,19,5,20,17,24,10,25
chris brochu,1,5,20,3,14
sissy spacek,9,1,19,5,20,17,24,3,21,25,11,8,23
roscoe lee browne,1,19,5,20,17,25
julie kavner,19,20,21,25
lauryn hill,19,16,8
peter serafinowicz,19,24
dan byrd,1,19,24,25
stephen boss,20,25,8
eric christmas,5,11
freddie jones,9,5,21,10
tenoch huerta,5,20,25,11
rufus graham,20
jamel debbouze,1,19,13,10,25
adam rayner,5
dany boon,0,12,19,20,17,25,22,8
chemeeka walker,19,16,20
lee ingleby,0,12,20,10,22
bruce boxleitner,0,20,22
rory culkin,9,19,5,20,17,25,11
florian lukas,20,25
simon abkarian,19,25
yetta gottesman,19,25
marin hinkle,19,20,25
sophia myles,12,1,19,5,21,10,11
catherine dyer,20,3,14
,0,15,9,1,16,17,18,10,25,4,12,19,13,20,21,22,8
elissa dowling,19,5,20,17,24
hector kotsifakis,20
jodie whittaker,0,12,19,5,20,25,11
phil silvers,19,23
bridgette wilson-sampras,12,9,19,5,20,24,21,10,25,11
julian sands,12,19,5,20,24,21,10,25,11
leonard nimoy,12,9,1,19,13,5,21,10,11
john arcilla,0,20
steve bisley,12,5,20,10,25,11
kumar gaurav,20
abby mukiibi nkaaga,5,20,3,22
jeremy kemp,0,19,20,25,23
cheyenne jackson,19,25
danny webb,0,12,19,20,3,25,22
perdita weeks,9,5,24
parker riggs,24
rosie traynor,9,5,20,24
arcelia ramírez,20
mary carr,20,17
tamara toumanova,5
erik per sullivan,19,5,20,10
tobey maguire,0,2,20,25
keegan connor tracy,9,5,20,24
jesse james,19,20
peter breitmayer,19,20
william hootkins,12,9,1,19,13,5,20,17,21,10,25,11
mike vogel,12,1,19,5,20,24,10,25,14,11
stephen rea,12,9,5,2,17,20,24,21,10,25,11
nataniel sánchez,19,20
olivia cooke,5,11
terry funk,16,3,14
tim choate,12,11
arthur agee,16,20,14
milla jovovich,12,9,19,5,2,17,20,24,10,25,14,11
quvenzhané wallis,1,19,20,3,21,22,23
brian mcnamara,19,5,24,21
kelly rowan,12,5,17
cree summer,12,1,19,13,20,21,10,11,23
andrea di stefano,20,25,23
anna katharina schwabroh,9,5,11
michael mcmillian,5,24
zack ward,12,1,19,5,20,17,24,10,11
jean louisa kelly,20,8
kiowa gordon,12,5,24
devaughn nixon,12,20,25,8
connor corum,20,3
portia doubleday,12,19,20,17,24,21
lauren london,19,25
peter capaldi,12,5,20,24,3,10,25,11
leonor watling,9,5,17
tia carrere,1,2,17,3,10,25,11,12,19,13,5,20,21,8
paul popplewell,20
lucy gaskell,12,21,10
kate ashfield,24
frances bay,19,20,14
stafford douglas,5,20
jasmine trinca,12,9,5,20,17
iko uwais,12,5,17
the dalai lama,16
bernard cribbins,5
reuben langdon,12,5,10,11
olivia alexander,19
faye dunaway,19,5,20,17,3,10,25
michael lerner,1,19,5,20,17,25,11
james burnett,12,5,17
soleil moon frye,1,19,21
joe cornish,12,9,19
seema biswas,20,25
david hemmings,19,21,10,11
françois berléand,20,8
bhole baba,16,20,3
alicia sixtos,20
pablo rosso,24
tim russ,19,20,25
f. murray abraham,12,1,19,20,17,24,3,21,10,25,22,11,8
stark sands,19,25
kelvin han yee,20,25,14
vanesa tomasino,9,5,24
cheryl tiegs,20
daniel henney,12,1,19,13,20,10,25,11
bethany blakey,19,20
angela bettis,5,20,17,24
frank vincent,12,19,20,17,3,10,25,14
alice pol,19,25
jimmy nail,20,3,22,23
ethan suplee,12,19,5,20,17,3,25,14
teddy sears,20,25
eric lloyd,1,19,20,21
finlay currie,0,20,25,22
chad lindberg,0,12,9,5,20,17,24,22
craig bierko,12,9,5,20,17,11
mike starr,12,9,19,5,20,17,3,10,25,8
david patrick kelly,12,9,19,20,17,21,10,8
bhoomika chawla,20,3,25,22
david proval,9,19,5,20,17,25
steve byers,12,20,21,25
leon rippy,9,5,20,17
yûsuke iseya,9,5,20,11
jaroslaw boberek,12,5,20,17
chiaki kuriyama,12
andré ramiro,12,5,20,17
abigail spencer,12,9,19,5,20,24,3,25,14
shannon elizabeth,19,24
fred rogers,1,19,21
mike beckingham,12,9,5
frank hvam,12,19,13,10,11
catherine hicks,24,21
kate walsh,12,20,24,21,25
sean young,19,5,11
peter firth,12,9,5,20,24,10,11
elena satine,5,20
