LIDNUM|NAME|LATSTR|LAT|LONGSTR|LONG|MAX_AGE|BFA_MAX|FRAC_MAX|MIN_AGE|BFA_MIN|FRAC_MIN|CHRON|COUNTRY|STATE|COUNTY|APNUMSPM|GENERAL|ORDER|FAMILY|GENUS|SPECIES|UNIQUE|SVLENGTH|BODYMASS|SXDIMSZE|SXDIMDIS|TSHM|TCRWNHT|CROWNTYP|DIET_1|DIET_2|DIET_3|LOCOMO1|LOCOMO2|LOCOMO3|SIDNUM
20001|Steinheim|48 42 0 N|48.700001|10 3 0 E|10.05|12.5|MN7-8|0|11.2|MN7-8|0|0|Germany|0|0|50000|n|Carnivora|Amphicyonidae|Pseudocyon|sansaniensis|0|1m-2m|130000|0|0|cso|0|0|a|carnivore|m/bone|te|surficial|gen_quad|20001
20001|Steinheim|48 42 0 N|48.700001|10 3 0 E|10.05|12.5|MN7-8|0|11.2|MN7-8|0|0|Germany|0|0|50000|n|Carnivora|Felidae|Pseudaelurus|quadridentatus|0|10cm-1m|30000|0|0|csp|0|0|a|carnivore|meat_only|te|scansorial|gen_quad|20007
20001|Steinheim|48 42 0 N|48.700001|10 3 0 E|10.05|12.5|MN7-8|0|11.2|MN7-8|0|0|Germany|0|0|50000|n|Carnivora|Felidae|Pseudaelurus|lorteti|0|10cm-1m|15000|0|0|csp|0|0|a|carnivore|meat_only|te|scansorial|gen_quad|20008
20001|Steinheim|48 42 0 N|48.700001|10 3 0 E|10.05|12.5|MN7-8|0|11.2|MN7-8|0|0|Germany|0|0|50000|n|Carnivora|Amphicyonidae|Pseudocyon|steinheimensis|0|1m-2m|126000|0|0|cso|0|0|a|carnivore|m/bone|te|surficial|gen_quad|20010
20001|Steinheim|48 42 0 N|48.700001|10 3 0 E|10.05|12.5|MN7-8|0|11.2|MN7-8|0|0|Germany|0|0|50000|n|Carnivora|Amphicyonidae|Amphicyonopsis|serus|0|2m-5m|200000|0|0|cso|0|0|a|carnivore|0|0|0|0|20011
20001|Steinheim|48 42 0 N|48.700001|10 3 0 E|10.05|12.5|MN7-8|0|11.2|MN7-8|0|0|Germany|0|0|50000|n|Carnivora|Ursidae|Hemicyon|goeriachensis|0|1m-2m|120000|0|0|cso|0|0|a|carnivore|meat|te|surficial|cursorial|20012
20001|Steinheim|48 42 0 N|48.700001|10 3 0 E|10.05|12.5|MN7-8|0|11.2|MN7-8|0|0|Germany|0|0|50000|n|Carnivora|Ursidae|Ursavus|cf. intermedius|0|10cm-1m|70000|0|0|bun|0|0|o|omnivore|anim_dom|te|surficial|gen_quad|20013
20001|Steinheim|48 42 0 N|48.700001|10 3 0 E|10.05|12.5|MN7-8|0|11.2|MN7-8|0|0|Germany|0|0|50000|n|Carnivora|Nimravidae|Sansanosmilus|jourdani|0|1m-2m|80000|0|0|csp|0|0|a|carnivore|meat_only|te|surficial|gen_quad|20014
20001|Steinheim|48 42 0 N|48.700001|10 3 0 E|10.05|12.5|MN7-8|0|11.2|MN7-8|0|0|Germany|0|0|50000|n|Carnivora|Mustelidae|Melidellavus|leptorhynchus|0|10cm-1m|2100|0|0|cso|0|0|o|omnivore|0|te|0|0|20021
20001|Steinheim|48 42 0 N|48.700001|10 3 0 E|10.05|12.5|MN7-8|0|11.2|MN7-8|0|0|Germany|0|0|50000|n|Carnivora|Viverridae|Semigenetta|sansaniensis|0|10cm-1m|5000|0|0|cso|0|0|a|invert|mixed|te|scansorial|0|20023
20001|Steinheim|48 42 0 N|48.700001|10 3 0 E|10.05|12.5|MN7-8|0|11.2|MN7-8|0|0|Germany|0|0|50000|n|Carnivora|Mustelidae|Paralutra|jaegeri|0|10cm-1m|5500|0|0|cso|0|0|a|piscivore|0|sa|0|0|20026
20001|Steinheim|48 42 0 N|48.700001|10 3 0 E|10.05|12.5|MN7-8|0|11.2|MN7-8|0|0|Germany|0|0|50000|n|Carnivora|Mustelidae|Ischyrictis|mustelinus|0|10cm-1m|8000|0|0|cso|0|0|a|carnivore|meat|te|0|gen_quad|20027
20001|Steinheim|48 42 0 N|48.700001|10 3 0 E|10.05|12.5|MN7-8|0|11.2|MN7-8|0|0|Germany|0|0|50000|n|Carnivora|Mustelidae|Martes|cf. filholi|0|10cm-1m|2000|0|0|cso|0|0|a|carnivore|meat|te|scansorial|gen_quad|20028
